film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
The Rehearsal,1971,1.0,0.0,0.0,0.0,0.0,,,,,
The Sorrow and the Pity,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Such Good Friends,1971,,,,,,1.0,0.0,1.0,0.0,0.0
Adventures in Perception,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Willy Wonka & The Chocolate Factory,1971,,,,,,1.0,0.0,1.0,0.0,0.0
The African Elephant,1971,,,,,,2.0,0.0,0.0,0.0,0.0
Le Mans,1971,,,,,,1.0,0.0,0.0,0.0,0.0
Art Is...,1971,1.0,0.0,0.0,0.0,0.0,,,,,
The Red Tent,1971,,,,,,1.0,0.0,0.0,0.0,0.0
Long Ago Tomorrow,1971,,,,,,2.0,0.0,0.0,0.0,0.0
Star Spangled Girl,1971,,,,,,1.0,0.0,1.0,0.0,0.0
Plaza Suite,1971,,,,,,2.0,0.0,2.0,0.0,0.0
A Clockwork Orange,1971,4.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Alaska Wilderness Lake,1971,1.0,0.0,0.0,0.0,0.0,,,,,
Play Misty for Me,1971,,,,,,1.0,0.0,1.0,0.0,0.0
Bedknobs and Broomsticks,1971,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
To Die of Love,1971,,,,,,1.0,0.0,0.0,0.0,0.0
A Christmas Carol,1972,1.0,1.0,0.0,0.0,0.0,,,,,
The Stepmother,1972,1.0,0.0,0.0,0.0,0.0,,,,,
The Silent Revolution,1972,1.0,0.0,0.0,0.0,0.0,,,,,
The Candidate,1972,2.0,1.0,0.0,0.0,0.0,,,,,
