,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
365,Malcolm X,1972,1.0,0.0,0.0,,,
366, Roma (1972),1972,,,,1.0,0.0,0.0
367,Lady Sings the Blues,1972,5.0,0.0,0.0,2.0,0.0,0.0
368,One Is a Lonely Number,1972,,,,1.0,0.0,0.0
369,Ben,1972,1.0,0.0,0.0,1.0,1.0,0.0
370,Tup Tup,1972,1.0,0.0,0.0,,,
371,Travels with My Aunt,1972,4.0,1.0,0.0,3.0,0.0,0.0
372,Frenzy,1972,,,,4.0,0.0,0.0
373,Limelight,1972,1.0,1.0,0.0,,,
374,The Godfather,1972,9.0,3.0,1.0,6.0,4.0,1.0
375,The Tide of Traffic,1972,1.0,0.0,0.0,,,
376,Images,1972,,,,1.0,0.0,0.0
377,Napoleon and Samantha,1972,1.0,0.0,0.0,,,
378,This Tiny World,1972,1.0,1.0,0.0,,,
379,Cabaret,1972,10.0,8.0,0.0,7.0,3.0,1.0
380,The Heartbreak Kid,1972,2.0,0.0,0.0,3.0,0.0,0.0
381,images,1972,1.0,0.0,0.0,,,
382,My Dearest Señorita,1972,1.0,0.0,0.0,,,
383,K-Z,1972,1.0,0.0,0.0,,,
384,Kama Sutra Rides Again,1972,1.0,0.0,0.0,,,
385,Murmur of the Heart,1972,1.0,0.0,0.0,,,
386,The Discreet Charm of the Bourgeoisie,1972,2.0,1.0,0.0,1.0,0.0,0.0
387,"Summer Wishes, Winter Dreams",1973,2.0,0.0,0.0,3.0,0.0,0.0
388,A Touch of Class,1973,5.0,1.0,0.0,5.0,2.0,0.0
389,Love,1973,,,,1.0,0.0,0.0
390,Background,1973,1.0,0.0,0.0,,,
391,The Great American Cowboy,1973,1.0,1.0,0.0,,,
392,American Graffiti,1973,5.0,0.0,0.0,3.0,1.0,1.0
393,Children at Work (Paisti Ag Obair),1973,1.0,0.0,0.0,,,
394,The Day of the Jackal,1973,1.0,0.0,0.0,3.0,0.0,0.0
395,The Legend of John Henry,1973,1.0,0.0,0.0,,,
396,Brother Sun Sister Moon,1973,1.0,0.0,0.0,,,
397,Ash Wednesday,1973,,,,1.0,0.0,0.0
398,The Bolero,1973,1.0,1.0,0.0,,,
399,Always a New Beginning,1973,1.0,0.0,0.0,,,
400,40 Carats,1973,,,,1.0,0.0,0.0
401,O Lucky Man!,1973,,,,1.0,0.0,0.0
402,The House on Chelouche Street,1973,1.0,0.0,0.0,,,
403,A Delicate Balance,1973,,,,1.0,0.0,0.0
404,Frank Film,1973,1.0,1.0,0.0,,,
405,Kazablan,1973,,,,1.0,0.0,0.0
406,Four Stones for Kanemitsu,1973,1.0,0.0,0.0,,,
