film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
Women in Love,1970,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.556
First Love,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
Jack Johnson,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
Oisin,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shut Up...I'm Crying,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Boy Named Charlie Brown,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.849
Tristana,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
Tora! Tora! Tora!,1970,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157
Fellini Satyricon,1970,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747
Airport,1970,9.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,6.395
Joe,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.509
Little Fauss and Big Halsey,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Time Is Running Out,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258
Husbands,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.75
The Customer of the Off Season,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Little Big Man,1970,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.5
Investigation of a Citizen Above Suspicion,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.202
Love Story,1970,7.0,1.0,5.0,0.0,0.0,7.0,5.0,5.0,3.0,1.0,6.8
The Confession,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.729
Sunflower,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lovers and Other Strangers,1970,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.868
The Baby Maker,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083
M*A*S*H,1970,5.0,1.0,3.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.976
Madron,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.091
Wuthering Heights,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.623
Borsalino,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.9
Bloomfield,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.3
Women In Love,1970,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,6.556
Act of the Heart,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
Sticky My Fingers...Fleet My Feet,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Woodstock,1970,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Is It Always Right to Be Right?,1970,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Five Easy Pieces,1970,4.0,0.0,3.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,7.147
The Further Adventures of Uncle Sam: Part Two,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not available
Say Goodbye,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
The Shepherd,1970,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.956
Promise at Dawn,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.322
The Hawaiians,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.7
Cromwell,1970,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.574
Puzzle of a Downfall Child,1970,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.6
Pieces of Dreams,1970,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
The Resurrection of Broncho Billy,1970,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Patton,1970,10.0,7.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,7.502
